file,width,height,left_margin_px,top_margin_px,right_margin_px,bottom_margin_px,content_touches_edge,minimum_margin_px
Figure_1_1_Evidence_to_Defence_Architecture.png,2400,1560,57,33,39,1,False,1
Figure_1_2_Advice_Authority_and_Authorship_Map.png,2400,1307,30,50,30,57,False,30
Figure_2_1_Topic_Decision_Path.png,2400,827,30,23,70,69,False,23
Figure_2_2_SCOPE_Framing_Canvas.png,2400,1200,30,24,30,77,False,24
Figure_3_1_Evidence_Identity_Chain.png,2400,1013,37,17,37,71,False,17
Figure_3_2_CORPUS_Records_Cycle.png,2400,1227,64,30,64,30,False,30
Figure_4_1_Reversible_Driver_to_Test_Chain.png,2400,1340,24,37,77,65,False,24
Figure_4_2_DECIDE_Conditional_Commitment_Cycle.png,2400,1400,64,24,64,30,False,24
Figure_5_1_Candidate_to_Admission_Chain.png,2400,1280,44,37,110,67,False,37
Figure_5_2_Bounded_Execution_Loop.png,2400,1307,157,29,64,16,False,16
Figure_6_1_Evidence_to_Claim_Ladder.png,2400,1303,45,34,69,84,False,34
Figure_6_2_Claim_Stress_Test_and_Gate_Returns.png,2400,1403,98,80,98,9,False,9
Figure_7_1_Gate_Records_to_Answer_Architecture.png,2400,1309,39,33,40,87,False,33
Figure_7_2_Section_and_Paragraph_Contract.png,2400,1309,48,42,46,101,False,42
Figure_8_1_Semantic_First_Revision_and_Proof_Control.png,2400,1292,56,33,56,93,False,33
Figure_8_2_One_Study_Consistency_and_Metadata_Lock.png,2400,1292,0,31,12,67,True,0
Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record.png,2400,1292,34,39,34,108,False,34
Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces.png,2400,1292,126,39,126,63,False,39
