figure_number,file_stem,svg_text_count,odg_shape_count,odg_text_shapes,odg_line_shapes,odg_group_shapes,odg_graphic_shapes,odg_other_shapes,odg_path,pptx_shape_count_uno,pptx_text_shapes_uno,pptx_graphic_shapes_uno,pptx_path
1.1,Figure_1_1_Evidence_to_Defence_Architecture,42,137,42,8,0,0,87,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_1_Evidence_to_Defence_Architecture_NATIVE_EDITABLE.odg,137,42,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_1_Evidence_to_Defence_Architecture_NATIVE_EDITABLE.pptx
1.2,Figure_1_2_Advice_Authority_and_Authorship_Map,21,46,21,4,0,0,21,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_2_Advice_Authority_and_Authorship_Map_NATIVE_EDITABLE.odg,46,21,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_2_Advice_Authority_and_Authorship_Map_NATIVE_EDITABLE.pptx
2.1,Figure_2_1_Topic_Decision_Path,16,66,16,6,0,0,44,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_1_Topic_Decision_Path_NATIVE_EDITABLE.odg,66,16,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_1_Topic_Decision_Path_NATIVE_EDITABLE.pptx
2.2,Figure_2_2_SCOPE_Framing_Canvas,21,54,21,5,0,0,28,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_2_SCOPE_Framing_Canvas_NATIVE_EDITABLE.odg,54,21,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_2_SCOPE_Framing_Canvas_NATIVE_EDITABLE.pptx
3.1,Figure_3_1_Evidence_Identity_Chain,21,71,21,5,0,0,45,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_1_Evidence_Identity_Chain_NATIVE_EDITABLE.odg,71,21,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_1_Evidence_Identity_Chain_NATIVE_EDITABLE.pptx
3.2,Figure_3_2_CORPUS_Records_Cycle,21,69,21,6,0,0,42,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_2_CORPUS_Records_Cycle_NATIVE_EDITABLE.odg,69,21,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_2_CORPUS_Records_Cycle_NATIVE_EDITABLE.pptx
4.1,Figure_4_1_Reversible_Driver_to_Test_Chain,26,99,26,7,0,0,66,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_1_Reversible_Driver_to_Test_Chain_NATIVE_EDITABLE.odg,99,26,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_1_Reversible_Driver_to_Test_Chain_NATIVE_EDITABLE.pptx
4.2,Figure_4_2_DECIDE_Conditional_Commitment_Cycle,15,63,15,6,0,0,42,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_2_DECIDE_Conditional_Commitment_Cycle_NATIVE_EDITABLE.odg,63,15,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_2_DECIDE_Conditional_Commitment_Cycle_NATIVE_EDITABLE.pptx
5.1,Figure_5_1_Candidate_to_Admission_Chain,31,96,31,7,0,0,58,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_1_Candidate_to_Admission_Chain_NATIVE_EDITABLE.odg,96,31,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_1_Candidate_to_Admission_Chain_NATIVE_EDITABLE.pptx
5.2,Figure_5_2_Bounded_Execution_Loop,18,70,18,6,0,0,46,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_2_Bounded_Execution_Loop_NATIVE_EDITABLE.odg,70,18,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_2_Bounded_Execution_Loop_NATIVE_EDITABLE.pptx
6.1,Figure_6_1_Evidence_to_Claim_Ladder,34,99,34,7,0,0,58,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_6_1_Evidence_to_Claim_Ladder_NATIVE_EDITABLE.odg,99,34,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_6_1_Evidence_to_Claim_Ladder_NATIVE_EDITABLE.pptx
6.2,Figure_6_2_Claim_Stress_Test_and_Gate_Returns,17,67,17,6,0,0,44,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_6_2_Claim_Stress_Test_and_Gate_Returns_NATIVE_EDITABLE.odg,67,17,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_6_2_Claim_Stress_Test_and_Gate_Returns_NATIVE_EDITABLE.pptx
7.1,Figure_7_1_Gate_Records_to_Answer_Architecture,32,228,32,21,0,0,175,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_7_1_Gate_Records_to_Answer_Architecture_NATIVE_EDITABLE.odg,228,32,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_7_1_Gate_Records_to_Answer_Architecture_NATIVE_EDITABLE.pptx
7.2,Figure_7_2_Section_and_Paragraph_Contract,24,82,24,7,0,0,51,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_7_2_Section_and_Paragraph_Contract_NATIVE_EDITABLE.odg,82,24,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_7_2_Section_and_Paragraph_Contract_NATIVE_EDITABLE.pptx
8.1,Figure_8_1_Semantic_First_Revision_and_Proof_Control,32,130,32,11,0,0,87,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_8_1_Semantic_First_Revision_and_Proof_Control_NATIVE_EDITABLE.odg,130,32,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_8_1_Semantic_First_Revision_and_Proof_Control_NATIVE_EDITABLE.pptx
8.2,Figure_8_2_One_Study_Consistency_and_Metadata_Lock,34,136,34,10,0,0,92,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_8_2_One_Study_Consistency_and_Metadata_Lock_NATIVE_EDITABLE.odg,136,34,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_8_2_One_Study_Consistency_and_Metadata_Lock_NATIVE_EDITABLE.pptx
9.1,Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record,31,72,31,5,0,0,36,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record_NATIVE_EDITABLE.odg,72,31,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record_NATIVE_EDITABLE.pptx
9.2,Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces,19,46,19,4,0,0,23,figures/06_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces_NATIVE_EDITABLE.odg,46,19,0,figures/08_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces_NATIVE_EDITABLE.pptx
